BANC,FAFB,MCNS
720575941633862331,720575940626979621,10009
720575941509289232,720575940609160457,185980
720575941580568053,720575940618203707,41566
720575941722415418,720575940621631690,83954
720575941557812004,720575940613120741,39688
720575941612326502,720575940631894753,38461
720575941390911492,720575940631966149,82194
720575941411386027,720575940612843250,94432
720575941615266005,720575940606996354,139720
720575941579208281,720575940629894160,53240
720575941540491901,720575940616755985,89251
720575941626183323,720575940620065694,12235
720575941543064861,720575940631716399,12112
720575941414655380,720575940614269351,145258
720575941595095153,720575940613113511,135704
720575941616355797,720575940642126221,125101
720575941595049174,720575940614580689,86775
720575941429865175,720575940613712109,103490
720575941554170522,720575940621066177,104976
720575941497945211,720575940624226633,98604
720575941523249483,720575940620311791,108004
720575941650896405,720575940622057989,89901
720575941578426713,720575940608618197,99927
720575941533256323,720575940630658041,142785
720575941437622495,720575940613570326,140743
720575941588912708,720575940625114109,164846
720575941563318418,720575940616024866,108270
720575941651144725,720575940614510899,97635
720575941571525790,720575940624565006,80647
720575941501327243,720575940605453001,85889
720575941596641669,720575940616748817,90877
720575941587943236,720575940624226795,94720
720575941574846109,720575940623725803,92279
720575941521246903,720575940612971634,95470
720575941488194869,720575940633810367,158207
720575941412021137,720575940615018146,162013
720575941547375752,720575940621360349,166131
720575941553987329,720575940612198835,169542
720575941599805481,720575940637894110,143885
720575941445097898,720575940625756208,153298
720575941439813311,720575940621398399,108594
720575941437842194,720575940609740381,91596
720575941580001781,720575940609942136,99448
720575941460371667,720575940621261744,105292
720575941490042318,720575940613565849,107185
